dataset,method,seed,trtr_accuracy,trtr_f1,trtr_auroc,tstr_accuracy,tstr_f1,tstr_auroc,gap_accuracy,gap_f1,gap_auroc,mean_numeric_abs_mean_diff,mean_numeric_abs_std_diff,mean_categorical_tvd,mean_cross_modal_abs_diff
weak_multimodal,independent,42,0.9313456604441299,0.6450137236962489,0.94492940520423,0.8830399009112625,0.0,0.4189393281425328,-0.04830575953286742,-0.6450137236962489,-0.5259900770616972,0.7959880966574879,0.5472153277940498,0.004329096778315999,0.11018976594128253
weak_multimodal,independent,123,0.92904538618066,0.6416443252904379,0.9438255681255807,0.8830399009112625,0.0,0.5277791040495853,-0.04600548526939752,-0.6416443252904379,-0.41604646407599544,0.2421418992206782,1.8585410838626732,0.003957186549979227,0.11014459904832234
weak_multimodal,independent,2024,0.9321419092276387,0.6444135373203523,0.9492250101213486,0.8830399009112625,0.0,0.5246491783708259,-0.04910200831637623,-0.6444135373203523,-0.4245758317505227,1.048882241256775,8.308318984948908,0.005061445592149402,0.1079077052786711
weak_multimodal,gaussian_copula,42,0.9313456604441299,0.6450137236962489,0.94492940520423,0.8950721047509511,0.21143617021276595,0.7920142825074146,-0.036273555693178805,-0.4335775534834829,-0.1529151226968154,1.5759307304892374,1.478320044609617,0.004571332320797056,0.04853187550806213
weak_multimodal,gaussian_copula,123,0.92904538618066,0.6416443252904379,0.9438255681255807,0.8942758559674423,0.19202163624070318,0.767775490527312,-0.034769530213217714,-0.44962268904973474,-0.17605007759826874,0.7794927039816882,0.24651377499820448,0.003279483114974475,0.05442477464472428
weak_multimodal,gaussian_copula,2024,0.9321419092276387,0.6444135373203523,0.9492250101213486,0.8954259930991773,0.20671140939597316,0.7615750561467697,-0.03671591612846148,-0.4377021279243792,-0.18764995397457895,0.2798158089790792,3.0687590852616853,0.004048361632739326,0.04256826172477333
weak_multimodal,random_forest,42,0.9313456604441299,0.6450137236962489,0.94492940520423,0.9283376094842077,0.6025515210991168,0.9209709491907545,-0.0030080509599221816,-0.04246220259713207,-0.02395845601347546,1.4486170845391002,9.50642679225576,0.05086012745177551,0.04283911674300043
weak_multimodal,random_forest,123,0.92904538618066,0.6416443252904379,0.9438255681255807,0.9262142793948509,0.6084507042253521,0.9158315322562189,-0.002831106785809112,-0.03319362106508583,-0.027994035869361777,0.565407025638978,4.6821062178691095,0.05508677227026855,0.07533210489964672
weak_multimodal,random_forest,2024,0.9321419092276387,0.6444135373203523,0.9492250101213486,0.9296646907900558,0.6255299105040037,0.919714628747722,-0.002477218437582973,-0.018883626816348587,-0.029510381373626604,2.466694420407046,15.0874417741954,0.05067967210536276,0.04830416102374472
weak_multimodal,xgboost,42,0.9313456604441299,0.6450137236962489,0.94492940520423,0.9130319384234274,0.5374117647058824,0.9158429760872435,-0.018313722020702472,-0.10760195899036651,-0.029086429116986445,0.7074101836170956,8.329730316947977,0.05156314023873246,0.11407834239602266
weak_multimodal,xgboost,123,0.92904538618066,0.6416443252904379,0.9438255681255807,0.9133858267716536,0.5654682645361739,0.9211681468617908,-0.01565955940900643,-0.07617606075426397,-0.02265742126378989,0.7097200563999523,6.713471944906009,0.050787305695025056,0.11358460004591726
weak_multimodal,xgboost,2024,0.9321419092276387,0.6444135373203523,0.9492250101213486,0.9153322126868972,0.5833696125380932,0.9198718866906124,-0.016809696540741492,-0.061043924782259174,-0.02935312343073626,2.9626290417980123,14.274355313118448,0.056896264060614564,0.11033960099751382
weak_multimodal_gemini,independent,42,1.0,1.0,1.0,0.8830399009112625,0.0,0.38733927290899606,-0.1169600990887375,-1.0,-0.6126607270910039,0.7963948926957066,0.5396588242176892,0.004515059019560144,0.3332315780763447
weak_multimodal_gemini,independent,123,1.0,1.0,1.0,0.8830399009112625,0.0,0.6803320408625101,-0.1169600990887375,-1.0,-0.3196679591374899,0.24078249635729623,1.8546703284879351,0.0043562200939299385,0.33080862533692723
weak_multimodal_gemini,independent,2024,1.0,1.0,1.0,0.8830399009112625,0.0,0.5401639059750591,-0.1169600990887375,-1.0,-0.45983609402494086,1.0517750888203778,8.311499803444276,0.0053588245485980505,0.3319984849250778
