dataset,ablation,trtr_accuracy_mean,trtr_accuracy_std,trtr_f1_mean,trtr_f1_std,trtr_auroc_mean,trtr_auroc_std,tstr_accuracy_mean,tstr_accuracy_std,tstr_f1_mean,tstr_f1_std,tstr_auroc_mean,tstr_auroc_std,gap_accuracy_mean,gap_accuracy_std,gap_f1_mean,gap_f1_std,gap_auroc_mean,gap_auroc_std,mean_numeric_abs_mean_diff,mean_numeric_abs_std_diff,mean_categorical_tvd,mean_cross_modal_abs_diff
weak_multimodal,condition_cols_12,0.9308443186174763,0.001607986774038261,0.643690528769013,0.0017972944745513176,0.9459933278170531,0.002852620192204547,0.9139166592939928,0.0012386092187914072,0.5620832139267166,0.023165165012656478,0.9189610032132155,0.002776984421376694,-0.016927659323483463,0.0013310075904800324,-0.08160731484229655,0.023749453215966915,-0.027032324603837532,0.0037911233019141746,1.45991976060502,9.772519191657478,0.05308223666479069,0.11266751447981792
weak_multimodal,condition_cols_8,0.9308443186174763,0.001607986774038261,0.643690528769013,0.0017972944745513176,0.9459933278170531,0.002852620192204547,0.9123536524226606,0.0031952185510116696,0.5389222651160676,0.01722808081194142,0.9161752008594443,0.002504954283259626,-0.01849066619481558,0.0015998532531208318,-0.10476826365294552,0.015844632820622404,-0.02981812695760881,0.0024503765726256307,1.4597474222387052,9.44739816606464,0.053503446186891596,0.11291288462104852
weak_multimodal,training_rows_3000,0.9308443186174763,0.001607986774038261,0.643690528769013,0.0017972944745513176,0.9459933278170531,0.002852620192204547,0.906661948155357,0.002424522623382237,0.5363006242209621,0.014208918058782535,0.910460358796691,0.00405297256774359,-0.02418237046211924,0.004031389965504751,-0.1073899045480509,0.015157614474920079,-0.03553296902036215,0.005638469195370868,2.1269707121165813,14.539003374714426,0.057253934637342435,0.11429005196595286
weak_multimodal,training_rows_1000,0.9308443186174763,0.001607986774038261,0.643690528769013,0.0017972944745513176,0.9459933278170531,0.002852620192204547,0.9043911645875725,0.005309308155577722,0.5404241312203567,0.04258392015459083,0.8985355079340612,0.015167841186374636,-0.02645315402990363,0.0037105577237035634,-0.10326639754865635,0.04078949969449628,-0.04745781988299195,0.013345026985014522,2.5118602597857986,23.480755474763075,0.06284940411093008,0.11710387715251785
weak_multimodal,condition_cols_4,0.9308443186174763,0.001607986774038261,0.643690528769013,0.0017972944745513176,0.9459933278170531,0.002852620192204547,0.9008817718009968,0.013609277084957069,0.3399547584187133,0.14789018195075185,0.7749017131541356,0.041552185072215156,-0.029962546816479436,0.013076621408967877,-0.3037357703502997,0.1464959506307176,-0.17109161466291747,0.0416257083726535,1.490873209020627,5.449675090294794,0.05459051013478366,0.11118606439249619
weak_multimodal_gemini,condition_cols_4,1.0,0.0,1.0,0.0,1.0,0.0,0.9925093632958801,0.0027129837228127025,0.9690477209913659,0.010862062421278922,0.9998791955850761,0.00019491609146454362,-0.007490636704119831,0.0027129837228127202,-0.030952279008634027,0.01086206242127894,-0.00012080441492386591,0.00019491609146457628,1.4902270837034992,5.455870175738589,0.06369008197775533,0.30245713239445765
weak_multimodal_gemini,condition_cols_8,1.0,0.0,1.0,0.0,1.0,0.0,0.9766433690170752,0.002699486207624925,0.9078964286701595,0.010490969585760145,0.9953694925047453,0.001240573976085688,-0.02335663098292488,0.0026994862076249295,-0.09210357132984041,0.01049096958576016,-0.004630507495254658,0.00124057397608569,1.4888176864252056,9.446228689627635,0.0649611755824746,0.3259270304016462
weak_multimodal_gemini,condition_cols_12,1.0,0.0,1.0,0.0,1.0,0.0,0.9745495296234038,0.002553969163892901,0.9002997516477445,0.009388019790839072,0.9948072037830021,0.001357699588097492,-0.025450470376596163,0.002553969163892918,-0.09970024835225548,0.009388019790839053,-0.005192796216997864,0.0013576995880975008,1.450199703623431,9.771320266580767,0.06437966059554501,0.3233992061805343
weak_multimodal_gemini,training_rows_3000,1.0,0.0,1.0,0.0,1.0,0.0,0.9690937509215841,0.0019227843124483498,0.8796967128167329,0.008155961595821555,0.9921840149839914,0.0014655263041769,-0.03090624907841577,0.0019227843124483546,-0.12030328718326704,0.008155961595821545,-0.007815985016008479,0.0014655263041768905,2.1449536294858316,14.531126412198185,0.06779569938322122,0.3281193690678064
weak_multimodal_gemini,training_rows_1000,1.0,0.0,1.0,0.0,1.0,0.0,0.9580937214308886,0.0036503001306205326,0.8375984590109526,0.016813456416348637,0.9866406030257288,0.003151372372770146,-0.041906278569111444,0.0036503001306205365,-0.16240154098904738,0.016813456416348613,-0.013359396974271317,0.00315137237277014,2.5955313604514236,23.478003642387034,0.07111972893355191,0.3289721182568904
