dataset,method,trtr_accuracy_mean,trtr_accuracy_std,trtr_f1_mean,trtr_f1_std,trtr_auroc_mean,trtr_auroc_std,tstr_accuracy_mean,tstr_accuracy_std,tstr_f1_mean,tstr_f1_std,tstr_auroc_mean,tstr_auroc_std,gap_accuracy_mean,gap_accuracy_std,gap_f1_mean,gap_f1_std,gap_auroc_mean,gap_auroc_std,mean_numeric_abs_mean_diff,mean_numeric_abs_std_diff,mean_categorical_tvd,mean_cross_modal_abs_diff
adult_income,random_forest,0.8528103076461114,0.0022297467154382368,0.6596429737579755,0.004668349408883739,0.9063025475929017,0.0009622770137024065,0.8097616902792564,0.005095189658603625,0.3914380763179002,0.04685296740723483,0.8769958306650046,0.0020016120768500635,-0.04304861736685502,0.004908367624267096,-0.2682048974400754,0.04649794670829268,-0.02930671692789714,0.001707787105431994,140.10727633639684,587.0696200013168,0.06971058742703229,
adult_income,xgboost,0.8528103076461114,0.0022297467154382368,0.6596429737579755,0.004668349408883739,0.9063025475929017,0.0009622770137024065,0.7960581988917097,0.005224728855037237,0.269043933059775,0.03945358794204284,0.8399834372652126,0.027091268290032302,-0.056752108754401766,0.003082717258982681,-0.3905990406982007,0.03514441580899409,-0.06631911032768911,0.02635966300620803,341.9150185707683,867.1244590384619,0.12856107050398338,
adult_income,gaussian_copula,0.8528103076461114,0.0022297467154382368,0.6596429737579755,0.004668349408883739,0.9063025475929017,0.0009622770137024065,0.8057489149127836,0.005711439120190892,0.43086787051294917,0.024346804315978347,0.8022631492451174,0.011276590257817137,-0.04706139273332788,0.0036818639587448587,-0.2287751032450264,0.020548565186263294,-0.10403939834778424,0.010660336674084182,57.36399593132412,313.21830983161476,0.006909576571165981,
adult_income,independent,0.8528103076461114,0.0022297467154382368,0.6596429737579755,0.004668349408883739,0.9063025475929017,0.0009622770137024065,0.7599705183850626,0.0003752825890553838,0.0020395961784283267,0.0017929333645221,0.5667188223459103,0.045118745185374384,-0.09283978926104879,0.0025562454308649136,-0.6576033775795472,0.005025461559867155,-0.3395837252469914,0.04599513819182557,152.37884794371104,517.2605665918319,0.006624118700207922,
german_credit,gaussian_copula,0.7506666666666666,0.026025628394590883,0.8303004866979111,0.019800771486055517,0.783263492063492,0.017576126184122975,0.7253333333333334,0.002309401076758521,0.8336036877682584,0.0006188089331464991,0.7749587301587302,0.03308652757359564,-0.025333333333333357,0.028095076674273994,0.0033032010703472428,0.020045509015190234,-0.00830476190476189,0.015896810102299475,6.24575000000004,7.213000343414069,0.0048472222222222154,
german_credit,random_forest,0.7506666666666666,0.026025628394590883,0.8303004866979111,0.019800771486055517,0.783263492063492,0.017576126184122975,0.6999999999999998,0.0,0.823529411764706,0.0,0.5921015873015872,0.06282200845872092,-0.050666666666666714,0.026025628394590872,-0.006771074933205316,0.019800771486055555,-0.19116190476190476,0.046422701460431495,160.88614814814812,12.056056072734336,0.10783796296296295,
german_credit,xgboost,0.7506666666666666,0.026025628394590883,0.8303004866979111,0.019800771486055517,0.783263492063492,0.017576126184122975,0.6133333333333333,0.12343959386409746,0.6977723322779307,0.17942109201173603,0.587936507936508,0.03188226261873675,-0.13733333333333334,0.09938477415244919,-0.13252815441998042,0.16090028306844872,-0.1953269841269841,0.017425701906197553,73.67455555555559,171.21522253913668,0.12263271604938275,
german_credit,independent,0.7506666666666666,0.026025628394590883,0.8303004866979111,0.019800771486055517,0.783263492063492,0.017576126184122975,0.6999999999999998,0.0,0.823529411764706,0.0,0.5068698412698412,0.07567019820541952,-0.050666666666666714,0.026025628394590872,-0.006771074933205316,0.019800771486055555,-0.2763936507936508,0.08759719258143019,9.822425925925915,9.063942090072272,0.0050246913580246945,
weak_multimodal,xgboost,0.9308443186174763,0.001607986774038261,0.643690528769013,0.0017972944745513176,0.9459933278170531,0.002852620192204547,0.9139166592939928,0.0012386092187914072,0.5620832139267166,0.023165165012656478,0.9189610032132155,0.002776984421376694,-0.016927659323483463,0.0013310075904800324,-0.08160731484229655,0.023749453215966915,-0.027032324603837532,0.0037911233019141746,1.45991976060502,9.772519191657478,0.05308223666479069,0.11266751447981792
weak_multimodal,random_forest,0.9308443186174763,0.001607986774038261,0.643690528769013,0.0017972944745513176,0.9459933278170531,0.002852620192204547,0.9280721932230381,0.0017404508159697641,0.6121773786094908,0.011933887521872372,0.9188390367315652,0.0026792531871430068,-0.002772125394438089,0.00027028669055152884,-0.03151315015952216,0.011878775013058875,-0.027154291085487947,0.0028696423605921403,1.4935728435283746,9.75865826144009,0.052208857275802274,0.05549179422213062
